Site,Time,BM_SMX [%],CoM_SMX [%],DOC_SMX [%],BM_Nit [%],CoM_Nit [%],BM_DeA [%],CoM_DeA [%]
HA,26.0,2.4210624304469257,97.57893756955308,0.022688910806662695,91.22932199127854,8.77067800872146,43.153424060864246,56.84657593913575
HA,26.1,2.421054088682055,97.57894591131794,0.0225457819751129,91.30524514461878,8.694754855381227,43.19555515024269,56.80444484975731
HA,26.2,2.421038769790011,97.57896123021,0.02240221689637813,91.38157187399204,8.618428126007956,43.23808116040811,56.7619188395919
HA,26.3,2.4209688228404183,97.57903117715958,0.022258604308074,91.45793274917948,8.542067250820525,43.28019778988922,56.71980221011078
HA,26.4,2.4209365068211905,97.57906349317882,0.02211542742322644,91.53393396494307,8.466066035056922,43.322868115074684,56.677131884925316
HA,26.5,2.420896530291491,97.5791034697085,0.021972212170677206,91.61031299150338,8.38968700849662,43.36558902059488,56.63441097940512
HA,26.6,2.4208324751865797,97.57916752481341,0.02182862375421499,91.68596293395082,8.314037066049185,43.40857449132618,56.59142550867381
HA,26.7,2.4208173848547263,97.57918261514527,0.021685470066834887,91.76235109279327,8.237648907206733,43.45155221136173,56.54844778863828
HA,26.8,2.420866166212458,97.57913383378755,0.021543113528387302,91.83820632976514,8.161793670234863,43.49508182533651,56.50491817466349
HA,26.9,2.420785826221747,97.57921417377825,0.021400002364454128,91.91421024646364,8.085789753536362,43.538559740033655,56.461440259966345
HA,27.0,2.4207711334182496,97.57922886658174,0.021257329572263187,91.98985545312453,8.010144546875472,43.58203287024817,56.41796712975184
HA,27.1,2.4208375772719593,97.57916242272803,0.02111510397908757,92.06563137146831,7.934368628531692,43.62612190374054,56.37387809625945
HA,27.2,2.4207647682728943,97.5792352317271,0.020972184065737927,92.14141153167118,7.858588468328811,43.670112826069754,56.329887173930246
HA,27.3,2.4207998857228925,97.57920011427711,0.020829717816745034,92.21696640607675,7.783033593923252,43.71479540013303,56.28520459986698
HA,27.4,2.4207569674036775,97.57924303259632,0.020687418839559227,92.29232289610061,7.707677103899376,43.75895991234226,56.241040087657744
HA,27.5,2.4208157075946106,97.57918429240539,0.020545503861251257,92.3678091629349,7.632190837065105,43.8038444881234,56.19615551187661
HA,27.6,2.4208229585902092,97.57917704140979,0.020403692344448915,92.44289057336552,7.55710942663449,43.84858211952056,56.15141788047945
